first_name,last_name,email,salary,age
Sofia,Baker,sbaker@rocketmail.com,$245k,57
Grace,Thompson,grace.thompson@gmail.com,$45k,47
Christopher,Davis,c.e25@outlook.com,$45k,50
Kyle,Lee,kylelee@hotmail.com,$245k,25
Theodore,White,t.white@aol.com,$35k,42
Joshua,Russell,joshuajrussell@hotmail.com,$165k,18
Hannah,Bennett,h_l_bennett@rocketmail.com,$75k,25
Brandon,Butler,brandon.butler26@live.com,$185k,44
Julian,King,julianleeking@hotmail.com,$55k,25
Samantha,Torres,samanthamary51@aol.com,$285k,50
Brittany,Johnson,brittany_r_johnson@rocketmail.com,$145k,70
Erin,Campbell,erin.k@outlook.com,$35k,50
David,Bell,david.david.bell@outlook.com,$185k,68
Brian,Nelson,brian_nelson@gmail.com,$105k,27
Alyssa,Phillips,alyssa_phillips@outlook.com,$75k,67
Joshua,Washington,joshua.washington@live.com,$65k,49
Charlotte,Howard,choward@ymail.com,$45k,23
Christopher,Walker,christopher_walker@outlook.com,$125k,42
Natalie,Rodriguez,natalie_rodriguez@yahoo.com,$215k,59
Elizabeth,Adams,elizabeth_r_adams@outlook.com,$85k,54
Oliver,King,oking@live.com,$95k,31
William,Harris,weharris@outlook.com,$165k,24
Tiffany,Collins,tscollins@aol.com,$105k,45
Henry,Harris,hharris@yahoo.com,$185k,19
Jose,Gonzales,jose_gonzales@yahoo.com,$95k,74
Mary,Morris,mmorris@hotmail.com,$55k,46
Sophia,Rodriguez,s_r_rodriguez47@ymail.com,$125k,26
Isaac,Edwards,isaac_edwards@aol.com,$95k,46
Robert,King,robertwking@live.com,$35k,75
Austin,Ramirez,a_s19@yahoo.com,$45k,58
Patrick,Thomas,patrick_james_thomas@yahoo.com,$75k,37
Matthew,Diaz,m.m.diaz27@gmail.com,$145k,24
Audrey,Bennett,a_bennett@gmail.com,$85k,44
Alexis,Bell,aebell@gmail.com,$185k,71
Kaitlyn,Lewis,k_lewis@yahoo.com,$75k,29
Erin,Scott,emscott37@hotmail.com,$75k,30
Michael,Stewart,m.stewart98@outlook.com,$55k,66
Tiffany,Lee,t.lee@yahoo.com,$245k,76
Brittany,Stewart,brittany_stewart@rocketmail.com,$65k,29
Elizabeth,Parker,elizabethlparker@ymail.com,$105k,73
Gabriel,Thomas,g.s.thomas@live.com,$165k,39
Maria,White,maria_white@hotmail.com,$65k,66
Alexandra,Foster,alexandrafoster@gmail.com,$215k,77
Ethan,Rogers,erogers@outlook.com,$95k,26
Emily,Campbell,e.r.campbell@hotmail.com,$45k,42
Anna,Lewis,a_n_lewis@hotmail.com,$145k,54
Audrey,Watson,a_watson@hotmail.com,$215k,59
